# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc6_S21,im:Trc6_S21,re:Trc7_S22,im:Trc7_S22,re:Mem8[Trc1]_S11,im:Mem8[Trc1]_S11,
2.731081081081081E+007,8.665871096819489E-001,-6.345592017866780E-002,6.559633292299337E-002,-1.136741038181556E-001,6.528429627879537E-002,-1.134973997964257E-001,8.662593806783738E-001,-6.217852384162733E-002,8.665656171830876E-001,-6.350436527185058E-002,
2.781101101101101E+007,8.664529801554459E-001,-6.459222866575314E-002,6.339791165183931E-002,-1.148885920775763E-001,6.308820708179697E-002,-1.147062693493202E-001,8.661488691052245E-001,-6.332499861609163E-002,8.664322109470666E-001,-6.464355601423336E-002,
2.831121121121121E+007,8.663203742051182E-001,-6.574731693103419E-002,6.118389839994567E-002,-1.160501822482460E-001,6.087507625295484E-002,-1.158634622506269E-001,8.660295874842869E-001,-6.443077669602589E-002,8.663033117188426E-001,-6.580522549719950E-002,
2.881141141141141E+007,8.661869591906497E-001,-6.690660335733269E-002,5.895175537884140E-002,-1.171739572989069E-001,5.863832803415733E-002,-1.169788192684430E-001,8.659239054198489E-001,-6.554924100251358E-002,8.661686960173172E-001,-6.695797157240957E-002,
2.931161161161161E+007,8.660805975064071E-001,-6.808788332959398E-002,5.670066814188915E-002,-1.182555530706840E-001,5.637603551925297E-002,-1.180573823147602E-001,8.658050610448598E-001,-6.667697480751907E-002,8.660620380473277E-001,-6.814187772099023E-002,
2.981181181181181E+007,8.659568154919375E-001,-6.928917208261406E-002,5.442027667650071E-002,-1.192946269720049E-001,5.409846573412490E-002,-1.190958594378557E-001,8.656691534718756E-001,-6.785514441564303E-002,8.659433893526517E-001,-6.934400113286190E-002,
3.031201201201201E+007,8.658288253220382E-001,-7.043590992226069E-002,5.212287676507743E-002,-1.203053408719844E-001,5.180424623087356E-002,-1.200897899464458E-001,8.656072564682877E-001,-6.904487815411443E-002,8.658133089014291E-001,-7.049719001385989E-002,
3.081221221221221E+007,8.657124575802502E-001,-7.163383647452093E-002,4.981063702686753E-002,-1.212588360666813E-001,4.949354959596255E-002,-1.210361600665030E-001,8.655159819343078E-001,-7.021021988674557E-002,8.656903375090144E-001,-7.169213969248933E-002,
3.131241241241241E+007,8.655534703444020E-001,-7.283617281915419E-002,4.748107453189097E-002,-1.221748121748972E-001,4.716035207802296E-002,-1.219439482982302E-001,8.654088225824566E-001,-7.135147427765312E-002,8.655366769639574E-001,-7.289626770265462E-002,
3.181261261261261E+007,8.654384194288849E-001,-7.402263421371697E-002,4.512577362313925E-002,-1.230638730528728E-001,4.481361943813667E-002,-1.228039459485924E-001,8.653707135256762E-001,-7.260926918207590E-002,8.654236103818739E-001,-7.409166559740671E-002,
3.231281281281281E+007,8.652820473018714E-001,-7.525356754584893E-002,4.275382439686952E-002,-1.238653128531095E-001,4.244424218177938E-002,-1.236149340786719E-001,8.651694824242107E-001,-7.380827178365483E-002,8.652633363577328E-001,-7.532228287128895E-002,
